ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
989,15,Feb,2014,3,Powder,-10,12.833333333333334
990,7,Mar,2011,4,Crust,-22,40.5
991,21,Feb,2011,4,Crust,-15,45.5
995,17,Mar,2011,6,Crust,-8,70.33333333333333
996,15,Mar,2011,4,Crust,-1,60.666666666666664
997,15,Mar,2011,4,Crust,-2,64.33333333333333
1001,11,Feb,2011,4,Powder,2,64.66666666666667
1002,12,Feb,2011,4,Powder,4,58.666666666666664
1003,27,Mar,2011,3,Powder,-3,10.166666666666666
1007,2,Mar,2009,5,Powder,-10,66.5
1008,11,Feb,2009,5,Powder,-8,63.5
1008,11,Feb,2009,5,Powder,-8,63.5
1009,28,Feb,2009,3,Powder,-24,25.666666666666668
1016,24,Jan,2012,3,Powder,-3,17
1017,24,Jan,2012,3,Powder,1,14.333333333333334
